Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,quant
"Huang X., Van Weesep J., Tang S.",55801304500;56624670900;55588340000;,To move or not to move? Residential mobility of rural migrants in a medium-sized Chinese city: the case of Yangzhou,2021,Housing Studies,36,2,,278,301,,2,10.1080/02673037.2019.1701634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076365873&doi=10.1080%2f02673037.2019.1701634&partnerID=40&md5=9fc289efd73057cf3d73760c5297bd30,"School of Geography, Nanjing Normal University, Nanjing, China; Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Department of Human Geography and Planning, Faculty of Geosciences, Utrecht University, Utrecht, Netherlands","Huang, X., School of Geography, Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Van Weesep, J., Department of Human Geography and Planning, Faculty of Geosciences, Utrecht University, Utrecht, Netherlands; Tang, S., School of Geography, Nanjing Normal University, Nanjing, China, Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China","This article evaluates the residential mobility decisions of rural migrants with a history of living in urban villages in Yangzhou City, Jiangsu province. Many were displaced by its demolition–redevelopment policy (forced movers); some chose to move voluntarily to improve their housing utility (voluntary movers); others decided to stay put in substandard housing (voluntary non-movers). A survey of their current housing conditions revealed that, compared to voluntary non-movers, most forced movers had not become better-off. But the voluntary movers had done much better than both of the other groups, implying that a timely move could have led to their improved housing conditions. However, even voluntary moves proved to have a downside, namely, that voluntary migrants would likely end up living somewhere more remote from coveted facilities and locations of jobs in the inner city. Logistic regression analysis showed how differences in socio-demographic characteristics between voluntary movers and non-movers could explain why some decided to move. For those who decided to stay, the analysis also indicates how the advantages of the current location may compensate for housing deficiencies. These results correspond to the motives migrants expressed in supplementary in-depth interviews: migrants intending to become permanent residents were most likely to move for better housing. The findings also point to structural constraints on residential mobility. For poor migrants without a Jiangsu hukou, moving to better housing was simply not an option. This suggests that further hukou reform is needed if urban redevelopment is not only meant to improve the image of the city but also the migrants’ housing conditions. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",demolition redevelopment; housing conditions; hukou; residential mobility; Rural–urban migrants; Yangzhou,housing conditions; housing policy; redevelopment; residential mobility; rural population; rural-urban migration; urban development; China; Jiangsu; Yangzhou,Article,Final,,Scopus,2-s2.0-85076365873,1
"White I., Nandedkar G.",7402165300;57212111861;,"The housing crisis as an ideological artefact: Analysing how political discourse defines, diagnoses, and responds",2021,Housing Studies,36,2,,213,234,,16,10.1080/02673037.2019.1697801,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075948582&doi=10.1080%2f02673037.2019.1697801&partnerID=40&md5=e663ec880ee11542af0c78ad56d84701,"Environmental Planning Programme, University of Waikato, Hamilton, New Zealand","White, I., Environmental Planning Programme, University of Waikato, Hamilton, New Zealand; Nandedkar, G., Environmental Planning Programme, University of Waikato, Hamilton, New Zealand","It is a truism that politicians from countries around the world claim to be in the midst of a ‘housing crisis’. But how do they define it, who is affected, and what is the cause? This paper provides a critical evaluation of the emergence and scope of political discourse connected to the housing crisis in New Zealand under three National Party led governments (2008-2017), with a view to better understanding the ways in which the issue has been problematized in politics and operationalized in policy. It finds that although researchers draw upon multiple strands of evidence and recognize housing as a complex problem, the political framing of a housing crisis is simpler and shows a closer relationship to long standing ideological perspectives, notably an inefficient planning system and low supply of development land. This raises critical questions for how housing researchers can better influence politics and challenge both the lived experience of crisis and existing claims of normalcy. © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",affordability; crisis; housing; New Zealand; planning; policy,affordable housing; housing policy; ideology; planning system; political discourse; New Zealand,Article,Final,,Scopus,2-s2.0-85075948582,0
"Adu-Gyamfi A., Cobbinah P.B., Poku-Boansi M.",57204196133;55823597600;35753585000;,Positionality of women in homeownership: a process of gender contract negotiation,2021,Housing Studies,36,2,,180,212,,3,10.1080/02673037.2019.1690131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075328923&doi=10.1080%2f02673037.2019.1690131&partnerID=40&md5=e0ecde4860cd0e37dbf5bde78b53f13e,"Department of Planning, College of Art and Built Environment, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Faculty of Architecture, Building and Planning, The University of Melbourne, Parkville Melbourne, VIC, Australia","Adu-Gyamfi, A., Department of Planning, College of Art and Built Environment, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Cobbinah, P.B., Faculty of Architecture, Building and Planning, The University of Melbourne, Parkville Melbourne, VIC, Australia; Poku-Boansi, M., Department of Planning, College of Art and Built Environment, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana","Literature is replete with information indicating that the roles, status and positions of men and women in society have evolved significantly over the years. Yet, there is a little understanding of how such changes have occurred in homeownership attainment in developing countries where there is male dominance. Using Ghana as a case study, this study explores the evolution of women’s role in homeownership. Findings show that although men exercise greater control in terms of investment and ownership, gender contract renegotiations often lead to an increase in women’s participation in homeownership mainly in supportive capacities. Renegotiations have mostly occurred to demystify the normative ideology tying men with the sole responsibility of housing investments. As a consequence, there is evidence of women making financial contributions, supervising construction activities and exploring cost-saving measures to aid the process of family house construction. Generally, findings show that homeownership enhances reproductive roles, uplifts status of men and acknowledges the contributions of women. Similarly, new norms of inheritance supported by statutory and customary law offer ownership stakes to women. In view of this benefit, women tend to be motivated towards providing support for the attainment of family homeownership. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Gender contracts negotiations; Ghana; homeownership; self-building; women,developing world; family structure; gender role; homeownership; womens status; Ghana,Article,Final,,Scopus,2-s2.0-85075328923,0
Colburn G.,56431128600;,The use of markets in housing policy: a comparative analysis of housing subsidy programs,2021,Housing Studies,36,1,,46,79,,3,10.1080/02673037.2019.1686129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075188356&doi=10.1080%2f02673037.2019.1686129&partnerID=40&md5=3a6933cf77448337a8fd9a5a94fc1fb1,"Department of Real Estate, College of Built Environments, University of Washington, Seattle, WA, United States","Colburn, G., Department of Real Estate, College of Built Environments, University of Washington, Seattle, WA, United States","Many countries use demand-side housing subsidies to support low-income households. Unlike public or social housing programs, demand-side subsidies require recipients to enter the private market to use their benefits. The focus of this study is the experiences of assisted households in the private housing market and the outcomes they achieve. Given the link between policy design and program outcomes and because all housing subsidy programs are not created equal, one might expect the experiences and outcomes of recipients to also vary. To examine this relationship, using data from national housing surveys, this study analyzes cross-national variation in housing support programs and compares the housing and neighbourhood outcomes of subsidized households in the US, the UK, and the Netherlands. The findings of this study highlight that market context and policy design are associated with housing outcomes. In particular, the strong tenant supports and favourable design of housing assistance in the Netherlands is associated with favourable outcomes for subsidized households. In the US and the UK, subsidized households, in general, underperform their unsubsidized peers. This article underscores the importance of institutional context and program design when public assistance programs require recipients to enter the private market to use a benefit. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",comparative; Housing; outcomes; subsidized housing; subsidy,housing market; housing policy; housing provision; low income housing; subsidy system; Netherlands; United Kingdom; United States,Article,Final,,Scopus,2-s2.0-85075188356,1
"Humphries J., Canham S.L.",57211851462;6506306176;,Conceptualizing the shelter and housing needs and solutions of homeless older adults,2021,Housing Studies,36,2,,157,179,,7,10.1080/02673037.2019.1687854,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075150333&doi=10.1080%2f02673037.2019.1687854&partnerID=40&md5=3345cadcce30bc4a8a62706eb9c2a9dd,"Department of Gerontology, Simon Fraser University, Vancouver, BC, Canada; College of Social Work, The University of Utah, Salt Lake City, UT, United States; College of Architecture and Planning, The University of Utah, Salt Lake City, UT, United States","Humphries, J., Department of Gerontology, Simon Fraser University, Vancouver, BC, Canada; Canham, S.L., College of Social Work, The University of Utah, Salt Lake City, UT, United States, College of Architecture and Planning, The University of Utah, Salt Lake City, UT, United States","Estimates of the number of homeless older adults are highly variable, but the proportion is expected to increase in Western countries as the general population ages. Much of the current literature on homelessness among older adults focuses on the causes of homelessness in later life, along with the health outcomes and service needs of this population. However, there is a dearth of research investigating potential shelter/housing solutions specific to homeless older adults that would meet their unique needs. This scoping review investigated the needs for housing homeless older adults and potential solutions. Based on thematic analysis of findings from 19 sources of primary research, we developed a conceptual model that suggests distinct, senior-specific needs and shelter/housing solutions of both newly and chronically homeless older adults. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",aging in place; Homeless; older adult; permanent supportive housing,adult; conceptual framework; elderly population; homelessness; housing provision; literature review; shelter,Article,Final,,Scopus,2-s2.0-85075150333,1
"Wessel T., Lunke E.B.",7003852176;57193866329;,Raising children in the inner city: still a mismatch between housing and households?,2021,Housing Studies,36,1,,131,151,,13,10.1080/02673037.2019.1686128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074859777&doi=10.1080%2f02673037.2019.1686128&partnerID=40&md5=d4d8ca64c429b668ed0aaaad12891395,"Department of Sociology and Human Geography, University of Oslo, Oslo, Norway; Institute of Transport Economics, Oslo, Norway","Wessel, T., Department of Sociology and Human Geography, University of Oslo, Oslo, Norway; Lunke, E.B., Institute of Transport Economics, Oslo, Norway","Recent research suggests that inner-city parents have become more loyal to urban living. If this is true, it is certainly good news for compact-city policies, which incorporate residential stability as part of the package. We investigate this issue with empirical evidence from Oslo, using longitudinal data for first-time parents with native and non-native background. Our first analysis tracks two parental cohorts, from 1995 and 2005, over 10 years, and shows that non-native parents have become less stable, whereas native parents have the same stability in both periods. A second observation is that native parents, and only this group, are more stable in areas with spacious dwellings. Finally, we also show that parents who leave the inner city, especially non-natives, increase their representation in low-rise houses. The results as a whole indicate that minority integration and compact-city policies may collide. They also indicate that Oslo, despite green city awards, has failed to create stable inner-city communities. We conclude with policy recommendations. © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Families; parenthood; inner city; compact-city policies,child development; child welfare; inner city area; minority group; policy approach; social inclusion; urban geography; Norway; Oslo [Norway]; Oslo [Oslo (CNT)],Article,Final,,Scopus,2-s2.0-85074859777,1
"Daniel L., Baker E., Beer A., Pham N.T.A.",55907170900;36899827700;7102778065;57158976400;,"Cold housing: evidence, risk and vulnerability",2021,Housing Studies,36,1,,110,130,,12,10.1080/02673037.2019.1686130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074849307&doi=10.1080%2f02673037.2019.1686130&partnerID=40&md5=1f20e9484ce6d894bdcb08ecb8b475b0,"School of Architecture and Built Environment, The University of Adelaide, Adelaide, SA, Australia; University of South Australia, University of South Australia Business School, Adelaide, SA, Australia","Daniel, L., School of Architecture and Built Environment, The University of Adelaide, Adelaide, SA, Australia; Baker, E., School of Architecture and Built Environment, The University of Adelaide, Adelaide, SA, Australia; Beer, A., University of South Australia, University of South Australia Business School, Adelaide, SA, Australia; Pham, N.T.A., School of Architecture and Built Environment, The University of Adelaide, Adelaide, SA, Australia","Cold housing is not widely recognized as a problem that occurs in mild-climate countries like Australia. But emerging evidence suggests that it is an important, albeit under-acknowledged, problem that may contribute to high rates of ill health and mortality during the winter months. We bring together two historically important theoretical developments to better understand the social and economic distribution of cold housing. Drawing on nationally representative data from the Household, Income and Labour Dynamics in Australia survey between 2001 and 2016, we find that the characteristics of households unable to adequately heat their homes strongly reflects known patterns of inequality across, for example, tenure, employment and health, but that there are also more unexpected trends in age and income. Critically, our analyses demonstrate that individuals’ vulnerability to cold housing risk can be anticipated, which has important implications for public policy and community-based interventions. © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Cold housing; health; housing provision; risk; well-being,cold region; health impact; housing conditions; housing provision; quality of life; risk factor; vulnerability; Australia,Article,Final,,Scopus,2-s2.0-85074849307,1
Kang S.,56666299000;,Beyond households: regional determinants of housing instability among low-income renters in the United States,2021,Housing Studies,36,1,,80,109,,4,10.1080/02673037.2019.1676402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074585435&doi=10.1080%2f02673037.2019.1676402&partnerID=40&md5=b00acda85904bb8a6d5a81bc215b0d23,"Department of Urban and Regional Planning, University of Florida, Gainesville, FL, United States","Kang, S., Department of Urban and Regional Planning, University of Florida, Gainesville, FL, United States","Scholars have increasingly highlighted housing instability, often represented by negative forms of residential mobility, as a growing problem in the United States. However, little empirical evidence exists about the role of regional conditions in making low-income renter households more vulnerable to housing instability. This paper examines the regional determinants of housing instability by analyzing Panel Study of Income Dynamics data uniquely combined with several secondary data sources. This study confirms that a significant regional variation in the likelihood of experiencing housing instability exists across metropolitan areas, even when all measurable household-level characteristics are controlled. The results reveal that low-income renter households are likely to experience housing instability in metropolitan areas where the poverty rate and the degree of automobile dependency are high. Notably, low-income renter households are placed at a heightened risk of housing instability when they have no private vehicle and reside in highly automobile-dependent metropolitan areas. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",automobile dependency; Housing instability; low-income renter households; the Panel Study of Income Dynamics,household income; low income population; metropolitan area; poverty; residential mobility; urban housing; United States,Article,Final,,Scopus,2-s2.0-85074585435,1
"MacAskill S., Stewart R.A., Roca E., Liu B., Sahin O.",57211585976;58023802000;7006297611;55559202600;35749183900;,"Green building, split-incentives and affordable rental housing policy",2021,Housing Studies,36,1,,23,45,,10,10.1080/02673037.2019.1677861,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074527319&doi=10.1080%2f02673037.2019.1677861&partnerID=40&md5=2bd0baf5033f99df97cdc808c98f82f0,"Cities Research Institute, Griffith University, Brisbane, Australia; Department of Accounting, Finance and Economics, Griffith Business School, Griffith University, Brisbane, Australia; School of Engineering and Built Environment, Griffith University, Brisbane, Australia","MacAskill, S., Cities Research Institute, Griffith University, Brisbane, Australia, Department of Accounting, Finance and Economics, Griffith Business School, Griffith University, Brisbane, Australia, School of Engineering and Built Environment, Griffith University, Brisbane, Australia; Stewart, R.A., Cities Research Institute, Griffith University, Brisbane, Australia, School of Engineering and Built Environment, Griffith University, Brisbane, Australia; Roca, E., Cities Research Institute, Griffith University, Brisbane, Australia, Department of Accounting, Finance and Economics, Griffith Business School, Griffith University, Brisbane, Australia; Liu, B., Cities Research Institute, Griffith University, Brisbane, Australia, Department of Accounting, Finance and Economics, Griffith Business School, Griffith University, Brisbane, Australia; Sahin, O., Cities Research Institute, Griffith University, Brisbane, Australia, School of Engineering and Built Environment, Griffith University, Brisbane, Australia","We investigate the notion of capitalizing on investments in energy, water and gas efficiency within the context of affordable rental housing subsidy schemes; how associated utility savings offer a means to deliver policy designed to mitigate for issues of split-incentives. An Australian case study representing a typical affordable housing development is analyzed for two scenarios - a ‘Business as usual’ and ‘Green-certified’ case. Over a 10-year rental tenancy, operational utility efficiencies, achieved through green building principles are modelled to reduce total housing costs by 1.7–3.8% (AUD $5–18 per week), for one- and four-person households, respectively. Over the building lifecycle, the net present value of improvements are forecasted to be positive, signalling favourable support for policy interventions. The findings provide evidence to support a broader notion of ‘housing assistance’ to one that includes improved standards on residential utility efficiency. We present three policy options on how to deliver these benefits to stakeholders. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Affordable housing policy; green building; national rental affordability scheme; principal-agent theory; split-incentives,affordable housing; building; efficiency measurement; housing policy; incentive; policy implementation; rental sector; stakeholder; Australia,Article,Final,,Scopus,2-s2.0-85074527319,0
"Elmansuri S., Goodchild B.",57211541975;6701415788;,"Tradition, modernity and gender in the Arab home: a study from Tripoli (Libya)",2021,Housing Studies,36,1,,1,22,,1,10.1080/02673037.2019.1676401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074368993&doi=10.1080%2f02673037.2019.1676401&partnerID=40&md5=053212a686e40277fb906aa47257a8e8,"The Centre for Regional, Economic and Social Research, Sheffield Hallam University, Sheffield, United Kingdom","Elmansuri, S., The Centre for Regional, Economic and Social Research, Sheffield Hallam University, Sheffield, United Kingdom; Goodchild, B., The Centre for Regional, Economic and Social Research, Sheffield Hallam University, Sheffield, United Kingdom","This socio-spatial study explores the meaning of home in an Arab context in terms of the response of residents to three case study sites that reflect different eras of development and involve different house types- traditional courtyard houses in the Medina and two collective housing estates. Based upon the triadic distinctions of Lefèbvre, a mixed methodology is applied to these case study sites, with relevant information coming from interviews and focus groups with architects and residents, a satisfaction survey and a space syntax analysis. Unlike many previous studies, the interviews and focus groups document the experience and views of female residents. The results highlight the continuing impact of religion and culture on the meaning of the home. The Arab-Libyan home constitutes a family and a feminine ideal, based on gender segregation and female privacy. The traditional courtyard house offers a suitable house type, but not the only possible type that meets the practices and preferences of Arab Libyan families. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Arab-Islamic culture; Comparative housing; courtyard housing; planning; privacy,comparative study; cultural tradition; gender disparity; housing; modernity; religion; traditional knowledge; Libyan Arab Jamahiriya; Tripoli [Libyan Arab Jamahiriya],Article,Final,,Scopus,2-s2.0-85074368993,0
"Chiu-Shee C., Zheng S.",57211462485;7403146779;,A burden or a tool? Rationalizing public housing provision in Chinese cities,2021,Housing Studies,36,4,,500,543,,9,10.1080/02673037.2019.1667490,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074045119&doi=10.1080%2f02673037.2019.1667490&partnerID=40&md5=78c9a89094fe72b76a27184b3ec24673,"Department of Urban Studies and Planning, Massachusetts Institute of Technology, Cambridge, MA, United States; Department of Urban Studies and Planning, China Future City Lab and Center for Real Estate, Massachusetts Institute of Technology, Cambridge, MA, United States","Chiu-Shee, C., Department of Urban Studies and Planning, Massachusetts Institute of Technology, Cambridge, MA, United States; Zheng, S., Department of Urban Studies and Planning, China Future City Lab and Center for Real Estate, Massachusetts Institute of Technology, Cambridge, MA, United States","Public housing, a crucial component of the welfare state, is often viewed as an economic burden. We confront this conventional view and provide an alternative understanding of public housing in mixed economies. Through the lens of China, we conduct case studies and investigate the rationales of public housing provision in two high-profile, industrializing and deindustrializing cities–Chongqing and Shenzhen, respectively. We find that, despite variegated local conditions, Chinese municipal governments strategically provide public housing as an instrument of city development. We construct an open-ended framework that forges intricate links among cost-benefit considerations. It systematizes hypotheses that assemble the patterns of dynamic relationships among constituents of local decision-making, mediating the dimensions of development stage, time and space. The framework facilitates a new and illuminating way of conceptualizing policy rationales and of explaining variations in local programmes. Our proposition complements theories of the mixed economy of welfare and invites further elaboration. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",China; cost-benefit considerations; local governments; Public housing policy; public rental housing; the mixed economy of welfare,cost-benefit analysis; housing policy; housing provision; local government; rental sector; urban area; urban development; urban housing; welfare economics; China,Article,Final,,Scopus,2-s2.0-85074045119,0
"Deng L., Yan X., Chen J.",19933795600;57200752514;55804433100;,"Housing affordability, subsidized lending and cross-city variation in the performance of China’s housing provident fund program",2021,Housing Studies,36,4,,455,478,,13,10.1080/02673037.2019.1585521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064488116&doi=10.1080%2f02673037.2019.1585521&partnerID=40&md5=ef66b2e07a756f190e81a05a862946e6,"Taubman College of Architecture and Urban Planning, University of Michigan, Ann Arbor, MI, United States; School of International and Public Affairs/China Institute for Urban Governance, Shanghai Jiao Tong University, Shanghai, China","Deng, L., Taubman College of Architecture and Urban Planning, University of Michigan, Ann Arbor, MI, United States; Yan, X., Taubman College of Architecture and Urban Planning, University of Michigan, Ann Arbor, MI, United States; Chen, J., School of International and Public Affairs/China Institute for Urban Governance, Shanghai Jiao Tong University, Shanghai, China","This study examines the cross-city variation in the performance of China’s Housing Provident Fund (HPF) program, a collective saving scheme that provides subsidized lending to support participants’ home purchases. It finds that while the program as a whole is limited in both participation and benefit provision, the level of HPF activities has differed across localities. Panel-data analysis of HPF lending in seven cities reveals that local housing affordability was an important determinant of who benefited from the program. Rising housing price increased the demand for HPF loans. But if price rose too high relative to household income, the share of participants who used HPF loans declined. This shows that as the program currently operates, expanding HPF participation would only increase the inequality in the distribution of program benefits. Finally, we did not find evidence for the counter-cyclic effects that HPF lending was expected to have in relation to bank lending. These findings have important implications for the program’s future reform. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",China; homeownership; Housing finance; housing provident fund,affordable housing; banking; homeownership; household income; housing finance; panel data; price determination; China,Article,Final,,Scopus,2-s2.0-85064488116,0
O’Donnell J.,57211213316;,Does social housing reduce homelessness? A multistate analysis of housing and homelessness pathways,2021,Housing Studies,36,10,,1702,1728,,5,10.1080/02673037.2018.1549318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060242128&doi=10.1080%2f02673037.2018.1549318&partnerID=40&md5=07a4ddbb94dc7bb86f3f52f66c860016,"School of Demography, Australian National University, Canberra, Australia","O’Donnell, J., School of Demography, Australian National University, Canberra, Australia","This article presents a multistate demographic approach for analyzing the longitudinal dynamics of housing and homelessness. The approach is applied to a sample of highly disadvantaged individuals in Australia to assess whether private housing markets and interpersonal support networks provide stable housing trajectories vis-à-vis public and community (social) housing. Discrete-time competing risk survival models are specified to estimate the probabilities of exiting housing to six housing and homeless states. Model outputs are applied to a microsimulation model to estimate the duration of episodes and the cumulative incidence of subsequent episodes of housing and homelessness. The results suggest that private housing markets carry an increased risk of housing exit relative to social housing. The homes of family and friends are the most common destination, though this type of support is usually time limited and often precipitates episodes of homelessness. These findings warrant policy consideration as to how housing markets can provide better affordability and security for low income households. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",couch surfing; doubling up; Homelessness; housing policy; multistate demography; rent subsidies; social housing,demography; homelessness; housing market; housing policy; social housing; subsidy system; Australia,Article,Final,,Scopus,2-s2.0-85060242128,1
"Lux M., Sunega P., Kážmér L.",8452969300;8424270900;56206147000;,Intergenerational financial transfers and indirect reciprocity: determinants of the reproduction of homeownership in the post-socialist Czech Republic,2021,Housing Studies,36,8,,1294,1317,,9,10.1080/02673037.2018.1541441,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059001110&doi=10.1080%2f02673037.2018.1541441&partnerID=40&md5=d921d0e480c41b78ed32c835cf6bdf4c,"Institute of Sociology, Czech Academy of Sciences, Prague, Czech Republic","Lux, M., Institute of Sociology, Czech Academy of Sciences, Prague, Czech Republic; Sunega, P., Institute of Sociology, Czech Academy of Sciences, Prague, Czech Republic; Kážmér, L., Institute of Sociology, Czech Academy of Sciences, Prague, Czech Republic","Using a representative survey of the Czech population, we demonstrate that intergenerational within-family financial (wealth) transfers represent the main mechanism in the reproduction of homeownership in Czech post-socialist society. The provision of a transfer or the lack of one largely determines the housing tenure of Czech young adults. Without transfers, the children of homeowners are significantly less likely to also become homeowners. We also show that the probability of an adult child receiving a transfer and the size of the transfer are closely linked (a) to the adult child’s within-family socialisation and (b) to the fact of whether the parents had also received a transfer from their parents in the past and how large that transfer was. These findings have important implications for how housing markets operate and for social inequalities. For example, if an established history of within-family transfers is a predictor of homeownership in future cohorts, this may mean that an important part of society will be systemically and predictably excluded from access to homeownership and a fixed axis of reproduced housing wealth inequality may form. © 2018 Informa UK Limited, trading as Taylor & Francis Group.",homeownership; Housing transfers; post-socialist society,financial system; homeownership; housing conditions; housing management; housing market; housing provision; residential development; Czech Republic,Article,Final,,Scopus,2-s2.0-85059001110,0
Cociña C.,57200271361;,"Housing as urbanism: the role of housing policies in reducing inequalities. Lessons from Puente Alto, Chile",2021,Housing Studies,36,9,,1490,1512,,5,10.1080/02673037.2018.1543797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058992274&doi=10.1080%2f02673037.2018.1543797&partnerID=40&md5=0bd3450520a5419a9dfd967412db7b38,"The Bartlett Development Planning Unit, University College London, London, United Kingdom","Cociña, C., The Bartlett Development Planning Unit, University College London, London, United Kingdom","This article explores the potential of housing policies to reduce economic, social and political inequalities. Understanding inequalities as issues of distribution and recognition, housing policies have the potential to tackle them by encouraging more equal outcomes and processes. Presupposing the centrality of the urban dimension in current debates, this article puts forward the idea of housing as urbanism as a framework of analysis. This framework is used to discuss the Chilean case, a market-led housing system that is considered as a financial model by many countries in the global South. However, urban shortcomings have encouraged policy makers to incorporate explicit urban equality ambitions in recent years. Based on empirical work conducted in Bajos de Mena, Santiago, the article presents two programmes with equality aspirations, examining their economic, social and political impacts. To draw lessons from the cases contributing to wider debates, it identifies the main challenges in addressing inequality, reflecting on the relevance of these conclusions beyond the Chilean case. © 2018 Informa UK Limited, trading as Taylor & Francis Group.",Chile; Housing policy; inequality; social housing; urbanism,economic impact; empirical analysis; equity; housing policy; social housing; social impact; urban housing; Chile,Article,Final,,Scopus,2-s2.0-85058992274,0
"Friedrichs J., Blasius J.",6701483697;6602314809;,Neighborhood change–results from a dwelling panel,2020,Housing Studies,35,10,,1723,1741,,1,10.1080/02673037.2019.1699032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077371591&doi=10.1080%2f02673037.2019.1699032&partnerID=40&md5=aa4b83f04b1df627d5db026b36e1cb9d,"Institute of Sociology and Social Psychology, University of Cologne, Cologne, Germany; Institute for Political Science and Sociology, University of Bonn, Bonn, Germany","Friedrichs, J., Institute of Sociology and Social Psychology, University of Cologne, Cologne, Germany; Blasius, J., Institute for Political Science and Sociology, University of Bonn, Bonn, Germany","One major focus of urban research is the study of neighborhood change over time. We argue that a dwelling panel, ie a panel in which the dwelling is the sample unit, is the most appropriate method to study such changes, which we demonstrate using gentrification as an example. We use data from a four-wave dwelling panel in two neighborhoods of Cologne, Germany, with N = 1009 households participating in the first wave. We first discuss the advantages and disadvantages of a dwelling panel compared to a conventional panel, as well as compared to repeated cross-sectional surveys in the same neighborhood. Second, we show the different results obtained from both panels, while describing the process of change which alters the composition of social groups throughout the process of gentrification. We then document changes in unit rental costs and residents’ years of schooling based on data from the two panels. In the concluding section, we outline opportunities for further research using dwelling panels. © 2019 Informa UK Limited, trading as Taylor & Francis Group.",conventional panel; dwelling panel; gentrification; Neighborhood change; repeated cross-sectional survey,gentrification; household survey; housing conditions; neighborhood; rental sector; research work; social change; urban housing; Cologne; Germany; North Rhine-Westphalia,Article,Final,,Scopus,2-s2.0-85077371591,1
"Lees L., White H.",7004314831;57211859808;,The social cleansing of London council estates: everyday experiences of ‘accumulative dispossession’,2020,Housing Studies,35,10,,1701,1722,,22,10.1080/02673037.2019.1680814,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075120233&doi=10.1080%2f02673037.2019.1680814&partnerID=40&md5=37eb0bb34f1ce86716adad47561d67fc,"School of Geography, Geology and the Environment, University of Leicester, Leicester, United Kingdom; Cambridge House, London, United Kingdom","Lees, L., School of Geography, Geology and the Environment, University of Leicester, Leicester, United Kingdom; White, H., Cambridge House, London, United Kingdom","London’s council estates and their residents are under threat like never before. Council tenants are being forced out of their homes due to estate renewal, welfare reforms, poverty, and the precarity of low-income work. Social cleansing can be understood as a geographical project made up of processes, practices, and policies designed to remove council estate residents from space and place, what we call a ‘new accumulative form of (state-led) gentrification’. We outline these accumulative processes, practices and policies, but more importantly we present grounded, empirical evidence of council tenants and leaseholders’ everyday experiences of dispossession, focusing our lens on three south London boroughs identified as eviction hotspots. © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",austerity; dispossession; precarity; State-led gentrification; welfare reform,gentrification; homelessness; homeownership; housing policy; low income housing; welfare reform; England; London [England]; United Kingdom,Article,Final,,Scopus,2-s2.0-85075120233,0
